fighter,opp,date,division,secs,sig_l,sig_a,sig_l_opp,sig_a_opp,td_l,td_a,td_l_opp,td_a_opp,ctrl,sub,kd,kd_abs,won,decided,won_by_ko,lost_by_ko,won_by_sub,won_by_dec,year
Ed Herman,Jason MacDonald,2006-10-10,Middleweight,163,2,2,5,7,1,2,0,1,78,0,0,0,0,1,0,0,0,0,2006
Jason MacDonald,Ed Herman,2006-10-10,Middleweight,163,5,7,2,2,0,1,1,2,57,2,0,0,1,1,0,0,1,0,2006
Chris Price,Kendall Grove,2006-10-10,Middleweight,239,5,10,13,26,0,0,1,1,36,0,0,0,0,1,0,1,0,0,2006
Kendall Grove,Chris Price,2006-10-10,Middleweight,239,13,26,5,10,1,1,0,0,164,1,0,0,1,1,1,0,0,0,2006
Forrest Petz,Marcus Davis,2006-10-10,Welterweight,298,5,18,33,50,0,0,0,0,21,0,0,0,0,1,0,0,0,0,2006
Marcus Davis,Forrest Petz,2006-10-10,Welterweight,298,33,50,5,18,0,0,0,0,50,1,0,0,1,1,0,0,1,0,2006
Matt Hamill,Seth Petruzelli,2006-10-10,Light Heavyweight,900,14,40,25,58,7,11,0,0,609,0,0,1,1,1,0,0,0,1,2006
Seth Petruzelli,Matt Hamill,2006-10-10,Light Heavyweight,900,25,58,14,40,0,0,7,11,11,1,1,0,0,1,0,0,0,0,2006
Crafton Wallace,Nate Marquardt,2006-10-10,Middleweight,374,4,18,13,27,0,0,2,3,45,0,0,0,0,1,0,0,0,0,2006
Nate Marquardt,Crafton Wallace,2006-10-10,Middleweight,374,13,27,4,18,2,3,0,0,215,2,0,0,1,1,0,0,1,0,2006
Josh Haynes,Rory Singer,2006-10-10,Middleweight,900,23,101,50,123,1,6,0,1,173,0,1,0,0,1,0,0,0,0,2006
Rory Singer,Josh Haynes,2006-10-10,Middleweight,900,50,123,23,101,0,1,1,6,76,0,0,1,1,1,0,0,0,1,2006
John Alessio,Thiago Alves,2006-10-10,Welterweight,900,13,82,63,142,2,10,0,0,253,0,0,0,0,1,0,0,0,0,2006
Thiago Alves,John Alessio,2006-10-10,Welterweight,900,63,142,13,82,0,0,2,10,76,0,0,0,1,1,0,0,0,1,2006
Ken Shamrock,Tito Ortiz,2006-10-10,Light Heavyweight,143,0,0,18,29,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2006
Tito Ortiz,Ken Shamrock,2006-10-10,Light Heavyweight,143,18,29,0,0,1,1,0,0,126,0,0,0,1,1,1,0,0,0,2006
Dustin Hazelett,Tony DeSouza,2006-10-10,Welterweight,239,1,4,5,5,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2006
Tony DeSouza,Dustin Hazelett,2006-10-10,Welterweight,239,5,5,1,4,1,1,0,0,218,1,0,0,1,1,0,0,1,0,2006
Aisling Daly,Alex Chambers,2014-12-12,Women's Strawweight,293,16,26,12,15,1,2,1,1,185,1,0,0,1,1,0,0,1,0,2014
