event_date,event,winner,loser,method,round
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Tahir Abdullayev,Jefferson Nascimento,?,3
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Jean Matsumoto,Bekzat Almakhan,?,3
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Daniil Donchenko,Theodor Berggren,?,2
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Kaan Ofli,Javier Reyes,?,1
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Nursulton Ruziboev,Andrey Pulyaev,?,1
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Abdul-Rakhman Yakhyaev,Julius Walker,?,1
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Farman Hasanov,Eric Nolan,?,3
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Abus Magomedov,Michal Oleksiejczuk,?,1
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Ikram Aliskerov,Brunno Ferreira,?,3
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Asu Almabayev,Charles Johnson,?,3
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Matheus Camilo,Nazim Sadykhov,?,1
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Shara Magomedov,Michel Pereira,?,3
2026-06-27,UFC Fight Night: Fiziev vs. Torres,Rafael Fiziev,Manuel Torres,?,2
