logged,event,date,f1,f2,p1,q1,outcome
2026-07-19,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Magomed Ankalaev,Bogdan Guskov,0.5349,0.8076,f1
2026-07-19,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Valter Walker,Thomas Petersen,0.515,0.6548,f1
2026-07-19,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Santiago Ponzinibbio,Sam Patterson,0.5125,0.2322,f2
2026-07-09,UFC 329: McGregor vs. Holloway 2,2026-07-11,Conor McGregor,Max Holloway,0.4502,0.3385,f2
2026-07-09,UFC 329: McGregor vs. Holloway 2,2026-07-11,Benoit Saint Denis,Paddy Pimblett,0.657,0.5752,f2
2026-07-09,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cory Sandhagen,Mario Bautista,0.5498,0.5564,f2
2026-07-09,UFC 329: McGregor vs. Holloway 2,2026-07-11,Robert Whittaker,Nikita Krylov,0.4551,0.5441,f1
2026-07-09,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,0.505,0.2241,f2
2026-07-09,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Durden,Alessandro Costa,0.6059,0.3179,f2
2026-07-12,UFC Oklahoma: Usman vs. Du Plessis,2026-07-18,Kamaru Usman,Dricus Du Plessis,0.4825,0.2977,f2
2026-07-12,UFC Oklahoma: Usman vs. Du Plessis,2026-07-18,Jared Cannonier,Christian Leroy Duncan,0.5275,0.2811,f2
2026-07-26,UFC Fight Night: Medic vs. Rodriguez,2026-08-01,Uros Medic,Daniel Rodriguez,0.5939,0.7426,void
2026-07-26,UFC Fight Night: Medic vs. Rodriguez,2026-08-01,Marcin Tybura,Aleksandar Rakic,0.5325,0.2721,void
2026-08-02,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,Mateusz Gamrot,Quillan Salkilld,0.428,0.4538,void
2026-08-02,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,Billy Quarantillo,Cezar Ferreira,0.5325,0.397,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Islam Makhachev,Ian Machado Garry,0.7665,0.743,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Mackenzie Dern,Gillian Robertson,0.4118,0.6633,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Mansur Abdul-Malik,Dustin Stoltzfus,0.3694,0.8209,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Esteban Ribovics,Edson Barboza,0.5099,0.8066,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Joel Alvarez,Chidi Njokuani,0.701,0.6886,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Vicente Luque,Tresean Gore,0.7483,0.4565,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Neil Magny,Ramiz Brahimaj,0.5882,0.4655,void
2026-08-11,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Jeremiah Wells,Myktybek Orolbai,0.5978,0.137,void
2026-08-13,UFC 330: Makhachev vs. Machado Garry,2026-08-15,Charles Johnson,Eduardo Henrique da Silva,0.5247,0.5284,void
2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,Anthony Hernandez,Gregory Rodrigues,0.6534,0.6112,void
2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,Reinier de Ridder,Roman Dolidze,0.8242,0.7421,void
2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,Sergey Spivak,Vitor Petrino,0.2867,0.3999,void
2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,Shamil Gaziev,Kennedy Nzechukwu,0.5297,0.5583,void
2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,Nasrat Haqparast,Chris Padilla,0.2265,0.5072,void
