date,location,R_fighter,B_fighter,weight_class,title_bout,section
2026-08-29,,Umar Nurmagomedov,Yadong Song,Bantamweight,False,main
2026-08-29,,Xiaonan Yan,Denise Gomes,Women's Strawweight,False,main
2026-08-29,,Kai Asakura,Qileng Aori,Flyweight,False,main
2026-08-29,,Alex Perez,Sumudaerji,Flyweight,False,main
2026-08-29,,Levi Rodrigues,Ce Liu,,False,main
2026-08-29,,Bilal Hasan,Nilson Rojas,,False,main
2026-08-29,,Andre Lima,Namsrai Batbayar,Flyweight,False,main
2026-08-29,,Rei Tsuruya,Kevin Borjas,Flyweight,False,main
2026-08-29,,Jack Jenkins,Sean Woodson,Featherweight,False,main
2026-08-29,,Long Xiao,Francesco Nuzzi,,False,main
2026-08-29,,Lawrence Lui,Hector Santiago,Bantamweight,False,main
2026-08-29,,Jingnan Xiong,Julia Polastri,Women's Strawweight,False,main
2026-08-29,,Meng Ding,Cameron Nelson,,False,main
